ForeFlight Logbook Import,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Flights Table,,,,,,,,,,,,,,,,,,,
Date,AircraftID,From,To,Route,TotalTime,PIC,SIC,Night,CrossCountry,Takeoff Day,Landing Full-Stop Day,Takeoff Night,Landing Full-Stop Night,AllLandings,ActualInstrument,Holds,DualGiven,Person1,PilotComments
2026/1/5,N330AP,KTEB,KEWR,TLPL,9.3,0.0,9.3,5.5,9.3,0,0,0,0,0,0.0,,,,
2026/1/10,N200EL,KIWA,KSRQ,KSUN,6.2,0.0,6.2,0.0,6.2,2,2,0,0,2,0.0,,,,
2026/1/11,N200EL,KSRQ,KHPN,KFLL KPBI,3.8,0.0,3.8,0.0,3.8,0,0,0,0,0,0.0,,,,
2026/1/22,N200EL,KTEB,KPBI,KBED KOCF,4.9,0.0,4.9,1.5,4.9,2,1,1,2,3,0.0,,,,
2026/1/23,N200EL,KPBI,KTEB,KROC KTEB KWWD,4.5,0.0,4.5,0.8,4.5,0,0,0,0,0,0.0,,,,
2026/1/24,N200EL,KWWD,KTEB,,0.8,0.0,0.8,0.0,0.8,1,1,0,0,1,0.0,,,,
2026/1/26,N200EL,KTEB,KTEB,MBPV,6.7,0.0,6.7,0.0,6.7,0,0,0,0,0,0.0,,,,
2026/2/5,N330AP,KTEB,MDPC,,4.2,0.0,4.2,0.0,4.2,1,1,0,0,1,0.0,,,,
2026/2/6,N330AP,MDPC,MDPC,MBPV KPBI,5.1,0.0,5.1,0.5,5.1,0,0,0,0,0,0.0,,,,
2026/2/8,N330AP,MDPC,KTEB,,4.4,0.0,4.4,0.0,4.4,1,1,0,0,1,0.0,,,,
2026/2/9,N330AP,KTEB,KADS,KPHL,3.9,0.0,3.9,0.0,3.9,0,0,0,0,0,0.0,,,,
2026/2/10,N330AP,KADS,KAPA,,1.8,0.0,1.8,0.0,1.8,1,1,0,0,1,0.0,,,,
2026/2/11,N330AP,KAPA,KMKC,,1.3,0.0,1.3,0.0,1.3,0,0,0,0,0,0.0,,,,
2026/2/12,N330AP,KMKC,KTEB,KPHL,2.8,0.0,2.8,0.0,2.8,2,2,0,0,2,0.0,,,,
2026/2/13,N330AP,KTEB,MMTL,,3.8,0.0,3.8,0.0,3.8,0,0,0,0,0,0.0,,,,
2026/2/16,N330AP,MMTL,KTEB,,3.6,0.0,3.6,0.0,3.6,1,1,0,0,1,0.0,,,,
2026/2/17,N330AP,KTEB,KOPF,,2.6,0.0,2.6,0.0,2.6,0,0,0,0,0,0.0,,,,
2026/2/19,N330AP,KOPF,PBI -,MBPV,3.4,0.0,3.4,0.0,3.4,2,2,0,0,2,0.0,,,,
2026/2/28,N200EL,MDPC,KBJC,KBNA,6.8,0.0,6.8,0.0,6.8,2,2,0,0,2,0.3,,,,
2026/3/1,N200EL,KBJC,KTEB,,3.1,0.0,3.1,0.0,3.1,0,0,0,0,0,0.0,,,,
2026/3/19,N200EL,KTEB,KOCF,KBED,3.5,0.0,3.5,0.0,3.5,0,0,0,0,0,0.0,,,,
2026/3/21,N200EL,KOCF,KOCF,KNEW,2.6,0.0,2.6,0.8,2.6,2,1,0,1,2,0.0,,,,
2026/3/22,N200EL,KOCF,KTEB,KBED,4.0,0.0,4.0,1.1,4.0,0,0,0,0,0,1.9,,,,
2026/4/6,N200EL,KBED,KHQU,,2.7,0.0,2.7,0.0,2.7,0,0,0,0,0,0.0,,,,
2026/4/7,N200EL,KHQU,KTEB,KBED,3.1,0.0,3.1,0.0,3.1,0,0,1,1,1,0.0,,,,
2026/4/8,N330AP,KTEB,KTEB,KHQU,2.0,0.0,2.0,0.0,2.0,0,0,0,0,0,0.0,,,,
2026/4/9,N330AP,KHQU,KTEB,,1.9,0.0,1.9,0.0,1.9,0,0,0,0,0,0.0,,,,
2026/4/10,N200EL,KTEB,KTEB,KBLM KHVN KBLM,2.7,0.0,2.7,0.0,2.7,1,1,0,0,1,0.1,,,,
2026/4/11,N200EL,KTEB,KCLE,KSBN,2.8,0.0,2.8,0.0,2.8,1,1,0,0,1,0.0,,,,
2026/4/12,N200EL,KCLE,KTEB,,1.3,0.0,1.3,0.0,1.3,0,0,0,0,0,0.0,,,,
2026/4/14,N330AP,KTEB,KTEB,KMDW,4.2,0.0,4.2,0.0,4.2,0,0,0,0,0,1.0,,,,
2026/4/16,N330AP,KTEB,KPBI,KHPN KSJU,6.5,0.0,6.5,0.0,6.5,2,2,0,0,2,0.0,,,,
2026/4/26,N330AP,KAPF,KTEB,MYNN KJAX KBED,5.7,0.0,5.7,0.0,5.7,0,0,0,0,0,0.0,,,,
2026/4/28,N330AP,KTEB,KTEB,KMDW,3.7,0.0,3.7,1.6,3.7,1,1,1,1,2,0.0,,,,
2026/4/29,N200EL,KTEB,KSBN,KHPN,2.3,0.0,2.3,0.0,2.3,0,0,0,0,0,0.0,,,,
2026/4/30,N200EL,KSBN,KCHS,KTEB,3.3,0.0,3.3,1.6,3.3,2,1,0,1,2,0.0,,,,
